,Description,Type,location,City,price,bedroom,bathroom,floor_area
231,"For Rent: MyTown Paris Queen Room Furnished Unit in Pembo, Makati | near Market Marke...",Room,Pembo,Makati,9500,1,1,0
232,"For Rent: MyTown Kyoto 2-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd St....",Condo,Pitogo,Makati,8510,1,1,0
233,"For Rent: MyTown Rio 6-Bed Sharing Furnished Unit in Pembo, Makati | near Market!Mark...",Condo,Pembo,Makati,4250,1,1,0
234,"Capsule room for rent in Bangkal, Makati, Metro Manila",Room,Bangkal,Makati,2500,1,1,0
235,1BR Apartment in Makati City,Apartment,Guadalupe Nuevo,Makati,12000,1,1,0
236,"Makati Bedspace near BGC, Ayala and Buendia",Bedspace,Pinagkaisahan,Makati,4050,1,1,0
237,"Room at Nobel St. for Rent, Makati",Room,San Isidro,Makati,12000,1,1,0
238,Bedspace in Boarding House near MRT Guadalupe Station,Bedspace,Cembo,Makati,2600,1,1,0
239,"Bedspace For Rent in Santa Cruz, Makati",Bedspace,Santa Cruz,Makati,4000,1,1,0
240,"Makati Bedspace near BGC, Ayala, Buendia and EDSA",Bedspace,Pinagkaisahan,Makati,4760,1,1,0
241,"Female Bedspace for Rent at Comembo, Makati",Bedspace,Comembo,Makati,3250,1,1,0
242,"Bedspace in MyTown, Makati",Bedspace,Guadalupe Nuevo,Makati,3500,1,1,0
243,Brand New Studio Apartment Room for Rent in Makati City,Apartment,La Paz,Makati,9000,1,1,0
244,"For Rent: MyTown New York 4-Bed Sharing Furnished Unit in Guadalupe Nuevo, Makati | n...",Condo,Guadalupe Nuevo,Makati,4650,1,1,0
245,"For Rent: MyTown Tokyo  2-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd St...",Condo,Pitogo,Makati,8510,1,1,0
246,"Female Bedspace for Rent, Makati",Bedspace,Chino Roces,Makati,4000,1,1,0
247,"Brand New 1 bedroom fully furnished apartment in San Antonio Village, Makati",Apartment,San Antonio,Makati,25000,1,1,0
248,Female Bedspace Guadalupe Makati MRT,Bedspace,Guadalupe Nuevo,Makati,2990,1,1,0
249,Bedspacer Condotype Unit in Makati for rent,Bedspace,San Isidro,Makati,3500,1,1,0
250,"For Rent: MyTown Amsterdam 2-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd...",Condo,Pitogo,Makati,8870,1,1,0
251,"For Rent: MyTown New York Private Queen Furnished Room in Guadalupe Nuevo, Makati | n...",Room,Guadalupe Nuevo,Makati,17260,1,1,0
252,"For Rent: MyTown Amsterdam 6-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd...",Condo,Pitogo,Makati,4610,1,1,0
253,"For Rent: MyTown Rio 2-Bed Sharing Furnished Unit in Pembo, Makati | near Market!Mark...",Condo,Pembo,Makati,8510,1,1,0
254,Male Bedspace for Rent in Makati,Bedspace,Olympia,Makati,3650,1,1,0
255,"Bedspace For Female In Makati Near BGC, Market Market",Bedspace,Rizal,Makati,3000,1,1,0
256,Room for Rent Makati,Room,Palanan,Makati,10000,1,1,0
257,Lady Bedspace in Makati for Rent,Bedspace,Valenzuela,Makati,3900,1,1,0
258,"Female Bedspace at Ridgewood Towers, Makati",Bedspace,Pembo,Makati,3800,1,1,0
259,Aircon capsule room for rent near ayala buendia makati pio del pilar,Room,Pio Del Pilar,Makati,4950,1,1,0
260,"Capsule type room for rent near BGC, East Rembo, Makati City",Room,East Rembo,Makati,2000,1,1,0
261,"For Rent: MyTown Hong Kong 4-Bed Sharing Furnished Unit in West Rembo, Makati | near ...",Condo,West Rembo,Makati,4400,1,1,0
262,"For Rent: MyTown Paris Bed Sharing Furnished Unit with Amenities in Pembo, Makati | n...",Condo,Pembo,Makati,8000,1,1,0
263,For Rent: MyTown Auckland Corporate Staff Housing with Condo-style Amenities in Pinag...,Condo,Pinagkaisahan,Makati,4760,1,1,0
264,"For Rent: MyTown Amsterdam 4-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd...",Condo,Pitogo,Makati,4760,1,1,0
265,"For Rent: MyTown Tokyo 4-Bed Sharing Furnished Unit in Pitogo, Makati | near 32nd St....",Condo,Pitogo,Makati,4300,1,1,0
